path	colname
..\data_exploration\sentiment_basic_stats.xlsx	train_hapaxes(%)
..\data_exploration\sentiment_basic_stats.xlsx	dev_hapaxes
..\data_exploration\sentiment_basic_stats.xlsx	dev_hapaxes(%)
..\data_exploration\sentiment_basic_stats.xlsx	test_hapaxes
..\data_exploration\sentiment_basic_stats.xlsx	test_hapaxes(%)
..\data_exploration\sentiment_basic_stats.xlsx	train_unknown
..\data_exploration\sentiment_basic_stats.xlsx	train_unknown(%)
..\data_exploration\sentiment_basic_stats.xlsx	dev_unknown
..\data_exploration\sentiment_basic_stats.xlsx	dev_unknown(%)
..\data_exploration\sentiment_basic_stats.xlsx	test_unknown
..\data_exploration\sentiment_basic_stats.xlsx	test_unknown(%)
..\data_exploration\sentiment_text_types.xlsx	Group
..\data_exploration\sentiment_text_types.xlsx	Language
..\data_exploration\sentiment_text_types.xlsx	Text type
..\data_exploration\sentiment_text_types.xlsx	Topic(s)
..\data_exploration\tag_stats\tag_stats_agglutinative.xlsx	TRAIN
..\data_exploration\tag_stats\tag_stats_agglutinative.xlsx	Unnamed: 1
..\data_exploration\tag_stats\tag_stats_agglutinative.xlsx	Unnamed: 2
..\data_exploration\tag_stats\tag_stats_agglutinative.xlsx	Unnamed: 3
..\data_exploration\tag_stats\tag_stats_agglutinative.xlsx	Unnamed: 4
..\data_exploration\tag_stats\tag_stats_agglutinative.xlsx	DEV
..\data_exploration\tag_stats\tag_stats_agglutinative.xlsx	Unnamed: 6
..\data_exploration\tag_stats\tag_stats_agglutinative.xlsx	Unnamed: 7
..\data_exploration\tag_stats\tag_stats_agglutinative.xlsx	Unnamed: 8
..\data_exploration\tag_stats\tag_stats_agglutinative.xlsx	Unnamed: 9
..\data_exploration\tag_stats\tag_stats_agglutinative.xlsx	TEST
..\data_exploration\tag_stats\tag_stats_agglutinative.xlsx	Unnamed: 11
..\data_exploration\tag_stats\tag_stats_agglutinative.xlsx	Unnamed: 12
..\data_exploration\tag_stats\tag_stats_agglutinative.xlsx	Unnamed: 13
..\data_exploration\tag_stats\tag_stats_agglutinative.xlsx	Unnamed: 14
..\data_exploration\tag_stats\tag_stats_agglutinative.xlsx	TOTAL
..\data_exploration\tag_stats\tag_stats_agglutinative.xlsx	Unnamed: 16
..\data_exploration\tag_stats\tag_stats_agglutinative.xlsx	Unnamed: 17
..\data_exploration\tag_stats\tag_stats_agglutinative.xlsx	Unnamed: 18
..\data_exploration\tag_stats\tag_stats_fusional.xlsx	TRAIN
..\data_exploration\tag_stats\tag_stats_fusional.xlsx	Unnamed: 1
..\data_exploration\tag_stats\tag_stats_fusional.xlsx	Unnamed: 2
..\data_exploration\tag_stats\tag_stats_fusional.xlsx	Unnamed: 3
..\data_exploration\tag_stats\tag_stats_fusional.xlsx	Unnamed: 4
..\data_exploration\tag_stats\tag_stats_fusional.xlsx	DEV
..\data_exploration\tag_stats\tag_stats_fusional.xlsx	Unnamed: 6
..\data_exploration\tag_stats\tag_stats_fusional.xlsx	Unnamed: 7
..\data_exploration\tag_stats\tag_stats_fusional.xlsx	Unnamed: 8
